tid,arrived_time,cpu_time,resource
1,0,6,93
2,2,3,96 34 19 24 127
3,2,9,59
4,3,6,82 84 6 70
5,7,10,32 99 24 60 93
6,9,8,33 50 10 63 111
7,11,4,98 21 74
8,14,10,88 121 74 45
9,15,10,66 85 104 74 95
10,18,4,112 7 76 78 31
11,20,2,59 75 28
12,24,6,37 110
13,26,4,34 5 72 89 45
14,26,3,83
15,30,4,118 73 11 59
16,33,7,4
17,34,2,23 56 107
18,38,3,116 124 95
19,39,6,82 54 42 91 92
20,39,5,18 6 126 46
21,39,8,19 78
22,42,4,27 59
23,42,6,98 72
24,43,10,98 51 5 87 72
25,47,9,1 50 43 28
26,48,3,1 85 8 28
27,49,2,104 30
28,53,10,83
29,56,4,51 58 44
30,60,1,113 76
31,61,5,4 7 123 94 79
32,61,9,112 55 59 76 31
33,63,9,104
34,65,4,60
35,66,9,125
36,67,8,68 103 119 125 47
37,71,9,64 1 17 73 11
38,72,8,65
39,73,3,80 82 3 117
40,75,9,1 107 60
41,75,6,82 18 77 14
42,75,7,65 68
43,78,1,102
44,79,10,7
45,79,9,16 23 8 125
46,80,5,69 11
47,81,4,64 65 54 110
48,83,10,42
49,85,7,36 55
50,87,6,85 22 103 60 108
51,91,4,64 118 106
52,92,7,115 28
53,92,1,2 68 118 121
54,96,9,51 52 92 94
55,98,1,112 116 58
56,98,4,73
57,102,3,5 41 58 122
58,106,9,116 45
59,108,3,112 33 17
60,112,7,36
61,113,6,80 49 118 109 31
62,113,3,96 103 107 45 63
63,116,10,96 84 74
64,116,2,1 38 105 106
65,116,3,35 5 75
66,116,10,16 18 36 20 56
67,116,5,28
68,119,9,80 76
69,121,4,16 109
70,122,7,98 55 75 92 61
71,126,10,33 115 47 79 31
72,130,2,34 100 23 24
73,134,8,97 6 12 92
74,136,1,101 22 94
75,136,4,112
76,136,3,85 121 46
77,139,8,85
78,139,6,82 88
79,139,8,59 109 15
80,139,10,112 64 18 71 58
81,142,10,80 2 42 122 78
82,143,5,6
83,144,1,113
84,148,10,115 52 69
85,151,4,34 118 39
86,155,3,95
87,156,8,58
88,156,6,114 36 85 25 61
89,160,10,48 74
90,160,1,101 62
91,164,5,108 29
92,167,10,80 96 70 93 63
93,170,8,17
94,172,6,19 27
95,174,6,112 43 93
96,174,4,96 11 28
97,177,5,7 29
98,177,2,85 87 73
99,177,9,73 105 30
100,180,9,34 9
101,182,4,116
102,182,2,52
103,186,2,34 28
104,190,1,97 85 6 73
105,190,8,107
106,194,10,3 54
107,197,7,8 76 12
108,197,4,52 26 13 78
109,198,7,115 71 74 29 110
110,198,1,35 67 58
111,199,4,70 72 12 13
112,202,3,19 86 7 25 12
113,202,7,96 115 53 108 126
114,203,1,50 2 28 62
115,207,3,12
116,209,4,21 57 42 76 127
117,209,9,113 97 75 46 62
118,210,7,16 116 40 94
119,214,5,114
120,216,5,32 116 5 88 62
121,217,5,103
122,218,4,3 119 106 42 108
123,220,8,32 99 8
124,224,1,82 100 86 63
125,225,6,30
126,228,10,113 114 66 25 106
127,230,9,123
128,234,4,66 50 87 58 76
129,237,7,70 74 76
130,241,7,68 38
131,244,2,74 43 75 60 61
132,245,6,38 24 11 63
133,248,10,80 6 54 40 123
134,252,6,52 42
135,253,4,72 127
136,257,8,80 22 103 75
137,261,8,118 103 119 42 109
138,263,5,83
139,264,9,112 8 11 62
140,268,5,20 120
141,269,10,65
142,270,10,67 85 102 56 124
143,273,8,66 5 104 58
144,274,9,3 75
145,277,1,83 6 92
146,279,6,35 37 22 43
147,281,4,32 116 72 28
148,282,1,1 66 127
149,286,5,66 71 103 29 47
150,288,7,83 37
151,292,2,93 78
152,296,9,112 59
