tid,arrived_time,cpu_time,resource
1,0,1,81 101 11 47
2,2,10,53 91
3,6,3,48 75
4,10,1,98 120 72 108
5,13,4,67 51 117
6,14,8,36 117 89
7,16,5,34 18 72
8,18,5,93
9,20,2,18 85 13
10,21,4,68 69 86 106 12
11,24,8,81 39
12,26,10,96 103 71 79 15
13,26,7,79
14,27,6,19 13
15,31,7,5 103 56 106
16,35,8,26 44 13
17,39,8,20 123 124 95
18,40,9,6
19,44,6,34
20,46,7,99 14
21,48,9,87 105 45
22,49,8,66 117 121
23,52,6,23 93
24,53,7,51 54 55 58
25,56,5,3
26,59,1,67
27,62,5,66 38
28,63,6,104 121 110
29,66,3,97
30,66,1,53 25 61 110
31,68,5,34 44 12 94
32,70,2,36
33,74,4,57 12
34,77,4,34 51 3 55 56
35,77,3,54
36,81,4,66 38
37,84,10,92 79
38,86,4,89
39,90,6,65 12 14
40,90,8,33 69 89 45
41,91,2,83 117 71 45 126
42,93,6,81 17 5 76
43,94,2,101 21 102 6 56
44,97,5,102 74 12
45,99,5,32 81 83 100 61
46,103,7,102 22 23 104 44
47,105,6,64 51 12
48,105,2,21 38 44
49,107,3,64 87 120 78
50,109,9,19 38 7
51,110,4,105
52,114,1,7
53,114,6,48 19 105 74 11
54,114,1,97 36 85 73 108
55,114,8,114
56,116,3,44
57,117,10,48 96 49 121
58,117,10,73 10
59,119,3,50 74
60,119,2,2 69 29 126 63
61,120,3,20 37 47 95
62,121,7,26 62
63,122,7,97 68 88 40 15
64,123,10,65 116 88 57 60
65,125,7,112 18 69 126 31
66,126,5,19 70
67,128,8,64 34 6 93 109
68,131,4,102 121 28 14 127
69,134,6,52 61
70,135,8,107
71,138,1,57 10 124
72,140,10,49 126
73,142,7,120
74,146,9,18 120
75,150,5,2 86 106 124 95
76,150,7,67 88 122 28
77,150,3,113 41 77
78,151,5,50 61
79,151,2,113 117 22 42
80,153,6,55 41 126
81,157,7,37
82,159,2,58
83,159,8,114 88 89
84,163,1,35 68 37 26
85,164,9,5 78
86,164,1,65 70
87,165,3,26 28
88,167,5,85 24 121 79
89,170,6,68 30
90,172,8,35 45 79 111
91,173,2,67 118 122
92,175,9,66
93,176,5,64 82 122 127
94,176,1,96 105
95,177,8,114
96,177,5,64 67 38 127
97,177,1,40
98,177,1,100 78
99,181,3,116 20
100,184,9,103
101,186,1,87 73 13 79
102,186,3,66 100 105 121
103,189,1,42
104,192,1,67 51 121 57 30
105,196,1,83 60
106,197,7,66 5 39 106
107,197,7,50 99 31
108,198,5,117 95
109,198,4,77
110,199,3,83 92 108
111,199,6,117 88 61
112,199,9,98 20 44 92 94
113,201,8,16 12
114,203,8,1 114 20 123
115,207,7,21 95
116,208,2,34 68 69 54 6
117,211,4,62
118,213,2,65 51 24
119,214,2,80 54 7 42 43
120,217,6,114 39 105
121,221,9,7 23 26
122,223,10,17 63
123,226,6,22
124,227,8,15
125,229,7,64 1 3 68 46
126,229,5,17 67 102 24 31
127,233,8,65 2 101
128,237,5,98 5 43 61
129,238,9,4
130,241,2,80 13
131,244,7,3 115 118 61
132,246,4,6
133,248,7,34 36 105 75
134,252,8,21 25
135,253,8,55 93
136,255,10,101
137,256,9,117
138,260,9,38 44
139,261,4,18 31
140,262,6,113 52 119 31 127
141,262,4,84
142,264,1,68 39 10 109
143,265,3,67 54 75 61 94
144,267,2,81 46
145,268,9,4 123 125 47
146,270,9,105 26
147,273,5,6 90 46
148,277,7,16 35 117 104 42
149,277,5,4 58 27
150,279,1,114 82 3 72
151,280,1,35 43 62
152,280,5,73 11
153,283,5,47
154,283,10,86
155,285,1,21 85 107 12 78
156,286,9,96 61 110
157,288,4,112 36 103
158,289,9,18 20 41 42 31
159,290,4,36 118 46
160,292,3,34 6 13
161,294,5,32 126 111 47
162,294,2,80 66 50 58 15
163,294,5,7 120 109
164,298,2,82 55 74 92
165,300,3,38 8 40
166,301,6,36 53 71 9 111
167,302,9,100 8 88 11
168,304,8,27
169,306,6,83
170,306,3,20
171,308,5,52 102 90 13
172,309,7,106
173,310,6,51 40 61
174,310,8,66
175,312,4,43
176,316,7,21 71 73 90
177,320,7,115 84 70 122 78
178,322,4,115
179,322,7,6
180,323,1,21 87 13 30
181,327,3,113 21 61 30 127
182,331,7,50 35 101 92 60
183,332,10,81 29
184,336,7,114 53 70 104 93
185,338,4,116 105 107 14
186,339,5,3 103 43
187,342,2,54 93
