tid,arrived_time,cpu_time,resource
1,0,10,3 52 40 88 8
2,2,1,70
3,2,3,52 23 107 11 63
4,4,6,121 30
5,6,9,2 56
6,7,3,99
7,10,9,37 86 87 105
8,14,9,50 24 41
9,18,8,20 54 39 23 29
10,20,9,80
11,20,4,33
12,23,7,38
13,23,5,116
14,25,9,52 86 109 14
15,26,8,16 99 52 109
16,27,1,63 79
17,30,6,57
18,30,3,86 25 122
19,30,5,3 118 10 106
20,30,5,65 3 10 109
21,34,8,118 77
22,34,9,2 115 118 106 11
23,35,2,101 22 6 95
24,36,3,64 84 86 47
25,40,10,119
26,44,8,4 53 8 104
27,47,1,16 6 106 61
28,51,1,81 98
29,51,6,51 7 126 15
30,53,8,97
31,56,7,82 104
32,56,2,66 6 7 107 44
33,56,10,99 116 23 123 31
34,57,9,92 15
35,57,3,49
36,58,9,87
37,62,2,115 6 120 74
38,63,10,83 100 121 58 47
39,65,1,73 105 90 15
40,68,7,50 115 127
41,68,8,1
42,72,8,53
43,76,6,120 105 61
44,78,8,4
45,78,10,17 37 42 79
46,78,2,28
47,78,3,91
48,82,9,55 40 88 108
49,85,8,18 4 58
50,86,4,82 71 62
51,86,2,42 91
52,90,2,127 31
53,93,4,116
54,96,3,115 74
55,100,3,88 59
