tid,arrived_time,cpu_time,resource
1,0,9,106 74 123 111
2,3,8,55 95
3,4,6,66 3 77 126 127
4,6,3,46
5,6,1,43
6,6,3,65 52 75 13
7,9,7,80 117 8
8,13,8,36 52 73 58 15
9,17,3,120
10,21,1,4
11,21,10,69 37 86
12,23,6,9 26 13 78
13,23,4,96 22
14,27,6,99 55 127 15 111
15,29,4,82 117 13
16,30,10,38 103 74 92 14
17,32,9,65 19 69 23 14
18,35,8,81
19,37,2,49 113
20,38,1,8 27
21,38,9,112 42 122 44
22,42,8,2 35 28
23,44,9,84 107 78
24,48,1,10
25,52,4,69 7 59
26,53,9,80 38 62
27,55,10,97 113 35 68 101
28,55,1,65 102 25
29,56,4,98 70 58 47
30,57,1,11 14 62
31,61,1,32
32,64,4,50 52 38
33,64,4,2 5 21 7
34,67,10,113 81 2 117
35,68,3,7 120 58
36,71,10,99 88 91 75 123
37,71,4,54 26 123 60
38,72,6,87 60
39,75,1,19
40,79,9,70 103 106 59
41,82,2,115 102 40
42,84,3,70 103 92
43,87,3,109 30
44,89,5,104 57
45,91,8,117 45
46,93,8,64 115 72 42
47,93,4,21
48,95,2,87 74 92 44
49,98,7,20 74
50,102,8,2 94
51,106,6,50 36 40 9 63
52,110,6,116 85 23 59
53,112,9,69 77 109
54,115,1,44
55,115,3,120 28
56,116,9,52 13 93 62
57,117,1,48 98 121 90
58,117,9,99
59,119,1,21 127
60,121,6,116 63
61,125,1,115 117 77
62,126,7,66 21 105 59 75
63,129,8,112 90 109
64,129,4,49
65,129,1,20 53 73
66,131,4,97 90 12
67,132,1,42
68,133,10,49 65 19 73
69,137,4,98 9 79
70,137,6,80 66 50 124
71,141,3,83 40
72,142,3,113 58 94
73,146,6,68 52 37 22
74,149,7,117 86 88 63 95
75,153,10,91
76,155,6,21 86
77,159,6,3 86 87 73 43
78,161,10,81 53 102
79,165,4,50 99 84
80,165,7,50 104 89
81,169,2,1 21 55 39
82,172,5,71 77
83,173,6,33 20 53 40
84,176,9,80 64 11
85,179,2,93 126
86,179,3,80 21 102 22 122
87,181,8,81 85 27
88,185,1,112 50 115 40 25
89,185,8,33 82 50 39 43
90,185,1,113 36 71 42
91,188,1,80
92,191,6,53 87 121 73 47
93,192,3,53 11
94,193,4,70 103 71
95,196,10,62 63
96,199,2,83 20 120 25 63
97,202,8,65 117 25 63
98,206,3,83 4 40 42 111
99,209,8,99 35 86 103
100,213,10,92
101,213,2,83 116 31
102,214,1,55 124
103,214,9,68 15
104,215,8,50
105,216,9,7 108
106,218,2,53 121 59 60
107,220,8,8 26 27 125 47
108,220,1,99 69 42
109,224,9,81 83 85 7
110,224,2,67 86 38 9 75
111,224,1,34 83 53
112,228,5,55 25 9 90
113,228,5,32 82 36
114,229,6,18 54 11
115,232,3,85 101 103 24
116,233,6,119 59 27 76
117,237,9,97 34 40 123 110
118,241,5,17 101 58 30
119,241,1,53 22 103 105 77
120,243,4,89
121,246,10,51 68 41 91
122,250,6,126
123,250,7,70 39 105 122 11
124,254,9,65 20 94 15
125,255,7,44
126,255,5,53
127,257,6,49 54 92
128,261,9,53 121 105 110
129,263,3,64 35 108
130,267,6,98 8 94
131,268,2,35
132,270,9,96 19 127
133,274,5,66 23 8 11
134,276,7,99
135,280,10,112 74
136,282,10,20 57 93 94 15
137,284,7,32 107 111
138,286,1,22 102 27 29
139,290,8,85
140,293,4,2 119 59 108
141,297,1,81
142,299,2,105 58 61 95
143,299,5,48 56 10
144,299,1,54
145,301,1,117 21 74 75 43
146,301,4,112 53 119 88
147,305,2,80 73 75 125
148,305,10,2 111 127
149,307,1,80 8 46 95
150,308,1,39 94
151,311,7,50 22 56 123 44
152,311,4,21 40 45
153,314,4,82 116 6
154,318,6,67
155,321,7,70 55 7 90
156,324,10,80 52 68
157,326,3,115 15
158,329,6,98 102 11
159,329,1,82 3 27 92
160,333,9,67
161,335,3,112 56 94 31
162,335,9,53 9
163,337,1,6 103 122
164,341,10,30
165,343,10,23 43 14 78 31
166,345,4,55 25 124 125
167,345,5,100 118 11 63
168,347,3,101 24 76
169,351,4,2
170,351,10,3 67 71
171,354,4,118 39 72
172,356,9,109
173,358,5,98 86 41 89 30
174,362,7,5 105 29
175,362,6,16 84 37 90 94
176,366,2,52 23 122
177,367,4,96 33 55
178,369,8,64 2 15
179,372,1,48 112 8 122 74
180,372,3,97 70 119 108 61
181,374,7,4 101 108 62
182,374,2,22 120
183,378,7,60
184,382,7,67 118 104 123
185,384,10,99 38 59 44
