tid,arrived_time,cpu_time,resource
1,0,5,1 67 25
2,0,8,16 7 42
3,0,6,36 120 28 95
4,3,2,49 7 108
5,3,4,55 125 30
6,5,8,36 37 85
7,9,1,108
8,11,7,64 35 100
9,14,1,17 35 68 60
10,15,1,40 125
11,19,1,81 4 109
12,20,1,32
13,23,4,74 60 12 111
14,27,3,7
15,27,3,39 93 13
16,28,2,36 25 14 63
17,28,6,56
18,28,2,3 42
19,28,7,81 25
20,28,2,11
21,31,7,81 114 19 7
22,33,3,1 74 124
23,33,10,18 43
24,34,2,24 28 110
25,35,1,127
26,37,1,23 41 127
27,37,1,5 89 14
28,41,6,98 34 57 59 94
29,43,6,36
30,47,7,21 38 89 123 95
31,50,8,68 71 88 125
32,52,10,113 49 2 99 103
33,56,10,116 85
34,60,8,70 103
35,63,7,84 122 76
36,67,2,35 120 89 106 126
37,67,7,50 3 20 42 75
38,69,7,100 53 57 31
39,69,9,37 106 42 12 77
40,71,6,50 118 103 23 119
41,74,4,26
42,76,8,36 70 38 125 77
43,77,5,19 9 106 75 62
44,78,6,40 121
45,82,6,50 82 104 57 106
46,83,7,116
47,85,2,72
48,85,9,16 119
49,89,4,24 106 77 13 63
50,89,10,114
51,93,9,85 39
52,96,10,63
53,99,6,64 41 125
54,100,9,51 87 104 77
55,103,1,103
56,106,8,17 35 37 41
57,110,5,117 47
58,114,3,19 116 5
59,118,6,51 3 7 126
60,122,6,72 105 74 109 110
61,125,8,22 56
62,127,9,37 31
63,127,7,19 4 102
64,127,1,50 25 107 78
65,130,9,27
66,133,3,64 99 88
67,133,8,16 47
68,133,2,17 115 39 71 89
69,133,9,66
70,134,4,1 41 58
71,135,3,14
72,139,4,83 19 101 107 63
73,139,4,15
74,142,7,119
75,144,8,33 113 19 68 57
76,144,1,44
77,145,1,80 17 54 58
78,147,9,81 26 95
79,147,6,13
80,149,3,16 35 125
81,153,2,115 55 73 92 29
