tid,arrived_time,cpu_time,resource
1,0,1,69 101 54 60
2,1,2,33 67 90 106
3,1,3,39
4,3,8,82 70 118 103 13
5,4,6,97 33 17 19 111
6,7,4,50 53 38
7,10,4,29
8,10,1,80
9,10,4,100
10,14,6,52 41 59 76 61
11,17,7,64
12,17,10,50 20 53 42 63
13,20,6,99 14
14,21,6,105 25 90
15,21,2,16 60 61
16,24,8,96
17,25,5,116 6 120 62
18,29,10,72
19,31,9,126
20,31,10,44
21,33,3,35 3 53 61
22,36,7,40 31
23,39,8,81 55 74
24,42,2,17 59 29
25,43,10,80 99 68 84 12
26,47,9,82 41 43 124 94
27,50,1,2 22 103 45 63
28,50,5,70
29,52,1,101 117 42 94
30,55,6,32
31,55,1,43
32,58,4,114 34
33,59,5,2 71 124 63
34,61,7,31
35,63,7,98 66 115 89 60
36,66,6,34 86
37,68,4,16 67 102 9 13
38,70,1,48 83 8 11
39,70,1,101 56 12
40,74,1,50 5 55
41,77,4,114 52 87 9
42,77,6,125
43,77,2,96 65 33 3 111
44,79,2,38
45,80,6,98 3 53 25 30
46,84,7,64 118 71 87 41
47,86,10,1 90 108 15
48,90,4,80 11 92 127
49,93,1,106
50,95,3,80 47
51,98,10,116 7
52,100,1,66 70 91 27
53,103,1,101 5 108 29
54,107,7,97 17 104 91 79
55,110,10,112 83 35 28
56,112,8,114 69 39 27 77
57,113,10,78
58,116,6,34 44 127
59,118,9,113
60,120,8,103 93
61,120,4,67 84 23 24 109
62,123,2,54 71 77 62
63,125,10,118 105 123 95
64,125,6,66 90 77 78
65,127,10,64 34 115 55 23
66,130,3,57 59 77
67,130,8,43
68,132,1,122 12
69,134,9,21
70,136,2,89 76 14
71,136,9,33 84 7
72,137,4,29 127
73,140,6,96 66 55 40 79
74,142,6,5 73
75,144,3,21 103 90 58 107
76,144,10,49 67 76
77,144,4,98 56 108
78,147,5,67 69 37
79,151,2,35 36 122 95
80,153,4,33 117 26
81,157,7,81 106 14
82,159,5,56 57 10 30 111
83,161,4,64 75 76
84,165,6,82 61
85,166,6,37 54 126
86,166,3,96 16 36 21
87,166,1,68 108
88,169,1,50 46
89,170,3,112 119 23 61
90,174,4,80 84 90 127
91,175,1,80 32 67 116
92,179,5,40
93,181,1,102
94,182,4,99 11 127 79
95,186,9,64 80 105
96,189,9,39
97,189,1,63
98,191,4,51 83 19 121 14
99,191,1,85 37 27
100,194,7,80 81 68
101,197,10,27
102,201,3,84 90 107 13 31
103,203,2,33 113 57 75
104,203,10,74 14
105,207,8,50 60
106,211,1,66 5
107,213,7,99 24 77
108,216,1,9
109,217,6,66
110,217,10,122 92 109 93
111,218,10,18 79
112,218,3,52 24
113,221,10,101 70 40 62
114,221,4,118 13
115,225,2,96 98 100 5
116,227,7,93
117,227,10,18 42 94
118,230,7,99
119,233,3,18 24 125
120,234,2,33 52
121,236,2,32 5 69 47
122,240,7,120 45 30
123,243,1,50 117 102 106 59
124,244,10,91 75
125,245,3,43 77 110
126,249,6,100
127,253,5,4 62 46 111
128,257,8,11 126
129,259,2,20
130,260,6,56 92
131,261,7,101 6 27 43 46
132,263,3,14
133,265,1,65 8
134,265,4,48 50 18 116 94
135,266,2,106 91 31
136,267,8,106
137,270,2,2 86 89 14
138,272,4,18 31
139,273,4,64 92 14 30 15
140,276,9,98 24
141,279,10,68
142,281,9,37 54 23 126 111
143,282,1,112 49 83 23 46
144,286,3,70
145,287,10,87 14 94
146,288,8,113 39 14
147,292,2,114 24 40 105
148,293,6,86 63
149,293,8,4
150,293,6,99 74 13 109 127
151,297,9,69 104
152,299,4,114 102 121 78
153,299,2,100 10 43 29 109
154,303,1,56 25 10 107
155,303,9,93
156,305,6,81 21
157,305,7,118 73 109
158,308,1,69 10 75 15 95
159,309,10,5 91 44
160,312,1,25 42 93
161,313,7,44
162,315,7,17 59 31 47
163,318,2,65 125
164,318,6,100 116 7
165,318,3,64 99 39 57 79
166,318,2,65 84 6 38 27
167,318,9,52 59
168,318,1,56
169,321,10,5 101 10
170,324,3,20
171,328,9,26 94
172,328,1,32 116 122 44
