tid,arrived_time,cpu_time,resource
1,0,5,66 52 117 111
2,4,2,18 99 7 27
3,7,2,42 11 43
4,9,6,113 23 62
5,9,7,64 125
6,11,1,48 17 40 60 29
7,11,9,24 92
8,15,3,84
9,16,2,83 67 69 104 12
10,18,2,34 84
11,19,6,66 117 85 123 60
12,21,8,66 25 45
13,22,8,96 37 27 15
14,25,8,50
15,29,2,36 104 25
16,33,5,32 66 126
17,37,8,70
18,37,10,80 45 15
19,41,3,2 29
20,41,4,16
21,45,8,22
22,45,2,96 18 104 45 126
23,48,10,73
24,50,3,97 85 24 121 31
25,54,4,18 22 108 126 94
26,57,5,22 11
27,57,3,73 105 111 15
28,58,1,65 24 107
29,60,2,1 121 90 122
30,64,5,49 19 87 109
31,64,5,117 8 57 125
32,68,9,87
33,71,10,111
34,71,1,83 53 123
35,74,8,51 10 43
36,78,7,68 7 120 72
37,80,8,49 34 117 119
38,80,7,33 20 40 121
39,81,3,17 52 104 125 77
40,85,3,66 69 40 93
41,85,1,1 65 19 88 13
42,88,4,112 113 36 4 119
43,90,3,18 107
44,94,1,20
45,97,7,108
46,97,1,67 106 63
47,98,4,66 62 30
48,99,5,33 19
49,103,3,38 78 95
50,107,6,89 43 75 94
51,109,6,99 118 86 77 46
52,110,5,24 26 125 110
53,112,8,35 118 54 76 44
54,113,10,102 55 8 26 77
55,113,3,113 83 36 5 118
56,115,6,118 119 42 107 11
57,117,3,114
58,118,3,81 4 68 73 109
59,121,9,63
60,124,7,2 115 35 108
61,124,8,52 109 77 95
62,124,6,96 1 33 125 95
63,127,6,17 20 30
64,130,9,6 88 122 126
65,130,10,99 71 7
66,130,10,87
67,133,1,97 23 30
68,136,7,96 117 28 14
69,137,4,113 19 115 20 89
70,138,2,98 50 109 29
71,139,9,121
72,143,4,64 19 6
73,145,7,112 7 55 92 125
74,147,4,52 87 88 90 43
75,150,5,112 116 54
76,150,7,40 76 109 47 95
77,151,5,97 85 110
78,155,7,98 53 122
79,155,8,55
80,157,2,16 89 31
81,159,5,3 115 57 123 77
82,161,9,89
83,161,6,65 38 89 12 125
84,164,3,84 103 72
85,164,9,25 94
86,166,3,19 39 121
87,166,1,17 18 91
88,167,4,73 60 45
89,167,10,51 117 118 89
90,167,10,83 37 126 47
91,171,8,3
92,172,8,8 26
93,174,3,80
94,175,10,52 57 75
95,178,8,107 79
96,181,3,82
97,181,8,112 53 8 75 78
98,181,9,97 43 92
99,183,9,112 80 41
100,183,1,32 27
101,187,1,103 126 15 47
102,190,4,23
103,192,8,34 59 75 125 30
104,194,9,64 127
105,195,8,112 99 56 14 111
106,197,6,97 98 9
107,197,6,32 85 117 118 121
108,201,6,64 99 67 52
109,205,1,49 28
110,209,3,5 31
111,212,6,3 84 119
112,214,7,88 89 44 28
113,216,7,48 118 91 30
114,217,7,18 37 44 109
115,220,2,52 20
116,221,9,62
117,224,3,21 59 92
118,228,2,35 26 94
119,228,1,4
120,230,2,92
121,234,7,52 74 60
122,238,6,81 23 71 60 127
123,238,9,32 101 25 122 75
124,238,10,111
125,239,5,69 58 12 77
126,241,10,101 69 86 55 124
127,242,3,1 21
128,243,9,2 115
129,247,7,32 51
130,249,10,66 7 23 89
131,250,7,98
132,254,6,87 26 10
133,254,5,35 85 7 72 42
134,258,3,16
135,262,2,88 10 44 111 79
136,263,9,88 24 90 11 43
137,264,2,18 73
138,266,5,49 114 11 27
139,270,5,34 7 8 107 126
140,272,4,17 102 8
141,276,4,51 27 29 111
142,279,2,72
143,282,4,54 46
144,284,4,122
145,288,3,18 99 35 108
146,290,1,89
147,292,3,54 123 111 63
148,295,3,50 76 13 93
149,296,4,113 4 55 42 93
150,300,5,83 86 72 89 77
151,302,2,65 102 56 126
152,306,6,99 8 123 109
153,310,8,82 87 123
154,314,5,23 31
155,314,2,2 41 28 93
156,317,10,114 52 40 76 15
157,319,7,48 116 100
158,321,5,34 42
159,322,2,97 100 60 61 93
160,322,9,95 79
161,323,8,35 54 111
162,326,9,4 23 41 42
163,328,10,2 67 72 56
164,329,3,71 40 77
165,331,7,34 84 12
166,335,9,50 98 69 62
167,337,8,77
168,339,3,80 84
169,342,4,49
170,346,1,82 117 40 60
171,348,5,113 71
172,352,8,8 10
173,356,3,65 121 105 73 106
174,356,8,2 121 91 124 109
175,359,5,98 115
176,363,8,92
177,363,9,99 52 25 44 125
178,364,6,80 22 107 29 127
179,367,2,65 122 75
180,369,7,25
181,372,3,118 54 71 11 77
182,376,10,28 93
183,380,5,113 22 108
184,382,6,112 85 124 110
185,385,5,97 117
186,388,6,113 21 30
