tid,arrived_time,cpu_time,resource
1,0,2,51 103 107 44
2,3,1,86 23
3,7,9,106 29
4,8,3,43
5,9,4,70 61 46
6,10,10,62
7,10,5,48 112 53 89 26
8,12,3,6 121 42
9,15,6,39 56
10,18,9,34 23 27 28 110
11,20,8,20 102 57 13
12,24,8,64 20 14 126
13,28,4,34 54 43 78 30
14,32,8,99 123 75 124
15,35,3,68 118 90
16,35,1,114 115 83 5 73
17,39,4,81 67 68 116 119
18,42,3,114
19,42,6,22 39 12
20,46,4,83 116 61 14 79
21,46,8,2 121 59 107 31
22,49,7,52
23,53,7,39
24,55,10,42 123 15
25,58,3,61
26,61,2,64 19 7 123 11
27,64,7,3 85 37 39
28,65,6,91
29,68,8,48 9 74 27 45
30,68,10,50 78
31,71,6,56 26 109
32,71,8,23
33,71,3,73 108 62
34,73,10,18 67 109 79
35,76,9,48 17 47
36,78,8,62
37,80,10,48 3 23 72
38,81,6,48 35 4 52 101
39,82,9,3 83 100 71 24
40,85,9,32 23 104 127
41,85,2,1 70 86 71 15
42,85,7,125
43,85,6,64 45 110 127
44,85,3,42 46
45,85,2,114 25 75 109
46,88,10,113 46
47,90,4,16 55 10 75
48,94,3,98 68 110
49,97,7,102 44
50,100,8,82 24 13 78
51,101,7,36 108
52,102,2,68 36 118
53,106,10,105 41 106 109
54,107,2,65 18 95
55,110,10,18 103 56 40 106
56,111,9,96 115 40 9 74
57,111,3,49 52 107 124 15
58,115,7,75
59,116,2,33 99 102
60,118,1,67 38 26
61,120,8,37 86 89 61 126
62,123,3,49 41 74
63,125,5,98 41
64,125,4,58
65,128,1,36 121 45
66,131,2,121 91
67,131,8,2 36 91 12
68,134,2,98 69 22 123 31
69,134,2,67 8
70,137,2,68 69 28
71,138,1,89 79
72,141,4,48 51 88 91
73,141,2,64 66 41 123 45
74,143,3,98 9 122 11
75,145,6,2 99 10 95
76,147,10,80 33 119 10 30
77,150,7,65 20 53 91 29
78,151,10,53 27 111
79,154,8,81 3 15
80,155,1,2 50 4
81,159,5,53 26
82,160,5,67 41
83,163,4,64 1 101 75
84,164,7,113 67 74 63
85,167,9,66 6
86,168,3,67 124 78
87,171,9,89 9 11
88,174,5,18 114 100 108
89,177,2,40
90,177,10,96 3 116 10 90
